"term","estimate","IRR","robust_std_error","z_value","p_value"
"(Intercept)",-1.4402,0.2369,0.3126,-4.6072,0
"site大村圓環",-0.2832,0.7534,0.4308,-0.6574,0.5109
"site中興新村圓環",1.8627,6.4413,0.2886,6.4544,0
"site內埔圓環",1.5111,4.5318,0.292,5.1744,0
"site芒果圓環",0.2896,1.3359,0.3509,0.8252,0.4093
"site岡山圓環",0.2879,1.3336,0.361,0.7973,0.4253
"site南投市中心圓環",-0.0815,0.9217,0.3929,-0.2075,0.8356
"site高雄控制組二",-0.3692,0.6913,0.4053,-0.911,0.3623
"site高雄控制組五",-0.6205,0.5377,0.4475,-1.3868,0.1655
"site麻豆圓環",1.5607,4.7622,0.3056,5.1069,0
"site潮州燒冷冰",2.3649,10.6427,0.275,8.5984,0
"site歸仁圓環",2.5709,13.0779,0.278,9.248,0
"IsYr110",0.2573,1.2935,0.1273,2.0222,0.0432
"IsYr111",0.1789,1.1959,0.14,1.2775,0.2014
"IsYr112",0.2277,1.2557,0.1657,1.3743,0.1694
"IsYr113",-0.2639,0.7681,0.1759,-1.5001,0.1336
"IsYr114",6e-04,1.0006,0.1933,0.0032,0.9974
"IsMonth2",-0.8152,0.4426,0.2089,-3.9013,1e-04
"IsMonth3",-0.2989,0.7416,0.2022,-1.4782,0.1393
"IsMonth4",-0.203,0.8163,0.1764,-1.1505,0.2499
"IsMonth5",-0.5944,0.5519,0.1896,-3.1351,0.0017
"IsMonth6",-0.3937,0.6745,0.2012,-1.9567,0.0504
"IsMonth7",-0.4411,0.6433,0.2091,-2.1099,0.0349
"IsMonth8",-0.3893,0.6775,0.1912,-2.0356,0.0418
"IsMonth9",-0.3225,0.7243,0.1837,-1.756,0.0791
"IsMonth10",-0.3738,0.6881,0.1705,-2.1932,0.0283
"IsMonth11",-0.4907,0.6122,0.2206,-2.2241,0.0261
"IsMonth12",-0.1445,0.8655,0.1816,-0.7956,0.4263
"is_experimented:is_treated",-0.1724,0.8417,0.1597,-1.0795,0.2804
