"Estimate","Std. Error","z value","Pr(>|z|)"
-1.51545541134826,0.0981160273639369,-15.4455439347035,8.08427420152879e-54
-0.277311411507126,0.0583227930221996,-4.75476905575445,1.98673393804862e-06
0.637756461992505,0.170753634413512,3.73495102568685,0.000187751721049599
-0.312244568322475,0.152085308379249,-2.05308830714827,0.0400640137881781
1.89411239793061,0.0920924293948592,20.5675147281579,5.36455451328481e-94
2.11936100291677,0.105867938885354,20.0189124793659,3.76857197810169e-89
0.402952138999402,0.227016907003096,1.77498735366836,0.0758999753291274
0.411945695480015,0.108048504184514,3.81259970778066,0.000137512726161456
0.30925239502049,0.192804185500683,1.6039713775788,0.108720361834034
0.786176467110789,0.135247459964472,5.81287417388324,6.14092201654685e-09
-0.383894785539448,0.235227560945961,-1.63201447991734,0.102676435866616
1.76268605897801,0.150160222190773,11.7387017231407,8.07159783886135e-32
3.56306627124993,0.0884112426146589,40.3010540953438,0
2.4370469426173,0.0849366916737968,28.6925107935318,4.73118407401031e-181
2.61431862503255,0.08490772741928,30.7901142156694,3.5540775900771e-208
0.273904159470937,0.0506570480984502,5.40702961883238,6.40785500614668e-08
0.281400864188557,0.0471371471776317,5.96983230928519,2.37497561153016e-09
0.280287420790243,0.0553146974083655,5.06714189758641,4.03833249744456e-07
-0.116815508757536,0.0602708782995311,-1.9381749868816,0.0526018773166793
0.230718622941118,0.07085890021886,3.25602884363861,0.00112982273265782
-0.686591370471393,0.068375860794632,-10.0414292777035,1.00211458494991e-23
-0.379445874793508,0.0739982955961049,-5.12776506184125,2.93202010567663e-07
-0.240240926541934,0.0657983042440762,-3.65117200666403,0.000261046328052066
-0.556834732612826,0.0694913195822997,-8.01301135105598,1.1193330397745e-15
-0.291586733023319,0.0600216780697881,-4.858023674118,1.18563236095813e-06
-0.384804861855417,0.0644390632143191,-5.97160856568612,2.34925646354867e-09
-0.333912430830859,0.0681710574129394,-4.89815536831441,9.67405304331186e-07
-0.371754784014025,0.0681046942361944,-5.45857797591366,4.79963070950086e-08
-0.401970696312009,0.0715500751192188,-5.61803318364423,1.93143411473123e-08
-0.482923281639421,0.0789874889908035,-6.11392117675304,9.72123356890874e-10
-0.238231394119008,0.065571024297552,-3.63318091597818,0.000279948584874563
