"term","estimate","IRR","robust_std_error","z_value","p_value"
"(Intercept)",-1.3969,0.2474,0.2858,-4.8877,0
"site大村圓環",-0.3338,0.7162,0.3931,-0.8491,0.3958
"site中興新村圓環",1.7761,5.9065,0.2768,6.4163,0
"site內埔圓環",2.1839,8.8812,0.2628,8.3096,0
"site芒果圓環",0.4534,1.5737,0.3023,1.4998,0.1337
"site岡山圓環",0.3591,1.432,0.3239,1.1086,0.2676
"site南投市中心圓環",0.0374,1.0381,0.3065,0.1219,0.903
"site南門圓環",1.2245,3.4025,0.2967,4.1267,0
"site高雄控制組八",-0.9071,0.4037,0.4399,-2.0621,0.0392
"site高雄控制組五",-0.6558,0.519,0.4023,-1.63,0.1031
"site麻豆圓環",1.4237,4.1523,0.2886,4.9336,0
"site新化圓環",1.1723,3.2295,0.2802,4.1834,0
"site新營圓環",1.6243,5.075,0.2829,5.7421,0
"site嘉義東門圓環",-0.145,0.8651,0.372,-0.3897,0.6968
"site嘉義噴水圓環",1.9092,6.7474,0.2695,7.0847,0
"site潮州燒冷冰",2.3621,10.6128,0.2612,9.0415,0
"site歸仁圓環",2.4682,11.8012,0.2621,9.4186,0
"IsYr110",0.366,1.442,0.1045,3.503,5e-04
"IsYr111",0.085,1.0887,0.1163,0.7307,0.4649
"IsYr112",0.3056,1.3574,0.1175,2.6012,0.0093
"IsYr113",0.1346,1.144,0.1189,1.1314,0.2579
"IsYr114",0.3155,1.371,0.1242,2.541,0.0111
"IsMonth2",-0.4638,0.6289,0.1507,-3.0777,0.0021
"IsMonth3",-0.1288,0.8791,0.1495,-0.8618,0.3888
"IsMonth4",-0.1166,0.8899,0.1492,-0.7814,0.4346
"IsMonth5",-0.2765,0.7585,0.1428,-1.9355,0.0529
"IsMonth6",-0.3173,0.7281,0.1662,-1.9086,0.0563
"IsMonth7",-0.4657,0.6277,0.1512,-3.0804,0.0021
"IsMonth8",-0.4942,0.6101,0.1625,-3.0412,0.0024
"IsMonth9",-0.2063,0.8136,0.141,-1.4633,0.1434
"IsMonth10",-0.12,0.8869,0.1388,-0.8647,0.3872
"IsMonth11",-0.2855,0.7516,0.1557,-1.8339,0.0667
"IsMonth12",-0.1111,0.8949,0.1507,-0.7371,0.4611
"is_experimented:is_treated",-0.328,0.7204,0.1212,-2.7068,0.0068
